iter	Passed	Remaining
407	6991	8053
408	7009	8038
409	7027	8021
410	7042	8002
411	7060	7985
412	7075	7966
413	7092	7948
414	7108	7931
415	7123	7910
416	7138	7892
417	7154	7873
418	7168	7852
419	7185	7835
420	7200	7816
421	7218	7799
422	7233	7780
423	7249	7762
424	7266	7745
425	7281	7725
426	7300	7710
427	7321	7698
428	7345	7687
429	7362	7670
430	7384	7658
431	7398	7638
432	7416	7621
433	7434	7605
434	7451	7588
435	7470	7573
436	7485	7554
437	7504	7538
438	7548	7548
439	7568	7534
440	7584	7516
441	7600	7497
442	7617	7480
443	7633	7461
444	7648	7442
445	7665	7424
446	7685	7409
447	7700	7391
448	7720	7376
449	7742	7364
450	7761	7348
451	7777	7330
452	7793	7312
453	7810	7294
454	7829	7278
455	7844	7259
456	7862	7243
457	7879	7225
458	7899	7210
459	7918	7195
460	7941	7183
461	7958	7165
462	7973	7146
463	7989	7128
464	8002	7107
465	8017	7088
466	8037	7073
467	8054	7056
468	8070	7038
469	8090	7023
470	8108	7006
471	8125	6989
472	8144	6973
473	8164	6958
474	8183	6943
475	8203	6927
476	8218	6909
477	8234	6891
478	8254	6875
479	8274	6860
480	8289	6842
481	8303	6822
482	8320	6804
483	8341	6790
484	8361	6775
485	8384	6763
486	8405	6748
487	8423	6732
488	8446	6718
489	8468	6705
490	8484	6687
491	8503	6671
492	8523	6656
493	8541	6639
494	8555	6620
495	8573	6603
496	8593	6587
497	8611	6570
498	8624	6550
499	8641	6532
500	8656	6513
501	8672	6495
502	8688	6477
503	8704	6458
504	8719	6440
505	8740	6425
506	8754	6406
507	8783	6397
508	8803	6381
509	8825	6368
510	8851	6357
511	8873	6343
512	8894	6328
513	8916	6314
514	8941	6302
515	8960	6285
516	8977	6268
517	9001	6255
518	9016	6236
519	9033	6219
520	9054	6204
521	9074	6189
522	9092	6171
523	9110	6154
524	9127	6137
525	9146	6120
526	9164	6103
527	9183	6087
528	9201	6070
529	9218	6052
530	9234	6034
531	9253	6018
532	9270	6000
533	9285	5981
534	9303	5964
535	9319	5946
536	9337	5929
537	9358	5913
538	9381	5900
539	9402	5885
540	9420	5867
541	9436	5849
542	9452	5831
543	9467	5812
544	9485	5795
545	9505	5779
546	9520	5761
547	9540	5745
548	9559	5728
549	9577	5711
550	9593	5693
551	9611	5676
552	9628	5658
553	9647	5642
554	9663	5624
555	9678	5605
556	9695	5587
557	9712	5569
558	9728	5551
559	9748	5535
560	9765	5518
561	9785	5502
562	9801	5484
563	9820	5467
564	9833	5447
565	9852	5431
566	9867	5412
567	9881	5393
568	9898	5375
569	9916	5358
570	9933	5340
571	9951	5323
572	9971	5307
573	9991	5291
574	10010	5275
575	10023	5255
576	10042	5238
577	10060	5221
578	10079	5205
579	10096	5187
580	10114	5170
581	10132	5153
582	10147	5134
583	10161	5115
584	10177	5097
585	10195	5080
586	10211	5062
587	10228	5044
588	10243	5026
589	10256	5006
590	10273	4989
591	10288	4970
592	10302	4951
593	10317	4932
594	10333	4914
595	10354	4899
596	10377	4884
597	10392	4865
598	10409	4848
599	10430	4832
600	10444	4813
601	10460	4795
602	10476	4777
603	10490	4758
604	10503	4739
605	10517	4720
606	10530	4701
607	10551	4685
608	10565	4666
609	10579	4648
610	10592	4628
611	10611	4612
612	10624	4593
613	10639	4574
614	10654	4556
615	10669	4538
616	10684	4519
617	10699	4501
618	10718	4484
619	10737	4468
620	10768	4456
621	10783	4438
622	10801	4420
623	10822	4405
624	10838	4387
625	10857	4370
626	10873	4353
627	10892	4336
628	10909	4318
629	10925	4300
630	10947	4285
631	10965	4268
632	10981	4250
633	11000	4233
634	11015	4215
635	11030	4197
636	11045	4179
637	11059	4160
638	11073	4141
639	11090	4124
640	11110	4107
641	11126	4090
642	11148	4074
643	11165	4057
644	11180	4038
645	11196	4021
646	11211	4002
647	11226	3984
648	11241	3966
649	11255	3948
650	11270	3929
651	11284	3911
652	11299	3893
653	11313	3874
654	11330	3857
655	11347	3840
656	11382	3828
657	11406	3813
658	11424	3796
659	11439	3778
660	11454	3760
661	11469	3742
662	11489	3725
663	11505	3708
664	11519	3689
665	11537	3672
666	11550	3653
667	11570	3637
668	11589	3620
669	11605	3602
670	11621	3585
671	11636	3567
672	11651	3549
673	11665	3530
674	11679	3512
675	11699	3496
676	11717	3478
677	11732	3460
678	11747	3443
