iter	Logloss
0	0.6808025566
1	0.6592977254
2	0.642255209
3	0.6233011446
4	0.6069937783
5	0.5836326692
6	0.5719391902
7	0.5553378503
8	0.5398793335
9	0.5199435132
10	0.5078344166
11	0.4966612164
12	0.4813699116
13	0.4738993845
14	0.4670881397
15	0.4521330647
16	0.4372666604
17	0.4286327911
18	0.414987942
19	0.4031959219
20	0.3868470758
21	0.3694323585
22	0.3519131561
23	0.3418208363
24	0.3314896154
25	0.3230736472
26	0.3122710854
27	0.3013062643
28	0.2929441888
29	0.2818054754
30	0.2740378888
31	0.2633232481
32	0.2579794525
33	0.2495075183
34	0.2421038604
35	0.2372889793
36	0.2322884812
37	0.2293686444
38	0.2227100957
39	0.2181740758
40	0.2132147437
41	0.2073975026
42	0.2040946559
43	0.1980206833
44	0.1945816999
45	0.1910929034
46	0.1856844318
47	0.1799878455
48	0.175415
49	0.1718699208
50	0.168446047
51	0.1661197297
52	0.1619687402
53	0.1576250881
54	0.1558360137
55	0.1540807793
56	0.1507581025
57	0.1483563307
58	0.1462585548
59	0.1441025281
60	0.1417526495
61	0.1380780916
62	0.135488825
63	0.1338509284
64	0.1315204788
65	0.1291456958
66	0.1264225616
67	0.1228961681
68	0.1200908434
69	0.118380184
70	0.1161565858
71	0.1150476021
72	0.1120473095
73	0.1104969917
74	0.1092334262
75	0.1078351531
76	0.1061631925
77	0.1045526703
78	0.1039694418
79	0.1026050735
80	0.1014904455
81	0.100478177
82	0.09924025746
83	0.09813508046
84	0.096491438
85	0.09513002575
86	0.09447529434
87	0.09258459802
88	0.09172421439
89	0.09033262473
90	0.08951585769
91	0.08892671383
92	0.08801361146
93	0.08736065214
94	0.08596543128
95	0.08497477699
96	0.08448043054
97	0.08349219841
98	0.08261873968
99	0.08148044205
100	0.08063184913
101	0.0798527
102	0.07936134503
103	0.07879394124
104	0.07771741398
105	0.07733091506
106	0.0767767687
107	0.07622535595
108	0.07587802156
109	0.07540838807
110	0.07503033327
111	0.07446360597
112	0.07411674424
113	0.0736981351
114	0.07315528735
115	0.07271750167
116	0.072116	0.063117	0.071117	0.062118	0.07118	0.0622119	0.07119	0.0616120	0.07120	0.0612121	0.06121	0.0605122	0.06122	0.0600123	0.06123	0.0596124	0.0124	0.05903125	0.0125	0.05891126	0.0126	0.05869127	0.127	0.058189128	0.128	0.057626129	0.129	0.057442130	0.130	0.057126131	0.131	0.056789132	0.132	0.056581133	0.133	0.05634953365
134	0.05569205825
135	0.05521279448
136	0.05497851005
137	0.05470606577
138	0.05397425202
139	0.05385695
140	0.05338979419
141	0.052962219
142	0.05276498266
143	0.05244129892
144	0.0518010389
145	0.05163332958
146	0.05140593787
147	0.05134692823
148	0.05121889371
149	0.05093743963
150	0.05082932391
151	0.05063291192
152	0.05023153429
153	0.04985935457
154	0.04969591173
155	0.04956017568
156	0.04940046028
157	0.0491721473
158	0.04910529979
159	0.04877541801
160	0.04858431306
161	0.04845676524
162	0.0480555576
163	0.04781039329
164	0.04740601839
165	0.04715846352
166	0.04704575274
167	0.04701403119
168	0.04694335821
169	0.04656044118
170	0.04596245531
171	0.045680638
172	0.04561168693
173	0.04548090911
174	0.04539029504
175	0.04524313745
176	0.04489983531
177	0.04473662077
178	0.04446772023
179	0.04399125795
180	0.04389118626
181	0.04369139325
182	0.04355609182
183	0.04342497825
184	0.04306317608
185	0.0429145096
186	0.0427843934
187	0.04278416053
188	0.04271967513
189	0.04245340727
190	0.04237905482
191	0.04217122514
192	0.04198081502
193	0.04194439553
194	0.04173454023
195	0.04140110838
196	0.04130905937
197	0.04110876128
198	0.04107100459
199	0.04098956649
200	0.04093542066
201	0.04086813578
202	0.0407468519
203	0.04067093657
204	0.04045868245
205	0.04035745241
206	0.04031309294
207	0.04029432559
208	0.04008087644
209	0.04003131773
210	0.03997316045
211	0.0398981424
212	0.03968803544
213	0.03962205538
214	0.03953385397
215	0.03940962469
216	0.03939169552
217	0.03934407662
218	0.03929718793
219	0.03916590919
220	0.03897209604
221	0.03891902951
222	0.03865452273
223	0.03848608776
224	0.03843003524
225	0.03815363169
226	0.0379338379
227	0.03788080352
228	0.03778352568
229	0.03772328313
230	0.03761545357
231	0.03744473306
232	0.03738627857
233	0.03724123226
234	0.03707040161
235	0.03702064626
236	0.0368625179
237	0.03674672052
238	0.03661485987
239	0.03657354781
240	0.03644358245
241	0.03634699364
242	0.03622406306
243	0.03617281581
244	0.03614586358
245	0.03608216322
246	0.03604525924
247	0.03590176242
248	0.0358376383
249	0.0358133091
250	0.0357200745
251	0.03556906814
252	0.03554092219
253	0.03535371997
254	0.03532556651
255	0.03526654151
256	0.03505831941
257	0.03492945012
258	0.03482738839
259	0.03482471184
260	0.03472653828
261	0.03465111494
262	0.03461139662
263	0.03458391504
264	0.03447410884
265	0.03440724783
266	0.03431499049
267	0.0342610992
268	0.03424414239
269	0.03423516872
270	0.03413973118
